edad,sexo,tipo_universidad,prom_estudio_dia,prom_dia_whatsapp,prom_ciclo_pasado,ciclo,total_cursos_actuales,actividad_extracurricular_actual,horas_ejercicio_semanal,horas_sueño_xnoche,red_mas_usada,tiempo_max_sin_redes_dia,notificaciones_estudio_diario,dias_redes_antes_de_dormir,tipo_contenido_redes_sociales,satisfaccion_interaccion_social_presencial,afecta_concentracion_rendimiento,impacto_redes_actividades_extracurriculares,impacto_redes_salud_mental,momento_uso_redes_sociales,uso_redes_academicas,satisfaccion_rendimiento_academico,interaccion_persona_amigos_redes,frecuencia_descubrimiento_actividades_redes,prom_dia_instagram,prom_dia_tiktok,prom_dia_linkedin,prom_dia_x
21,Masculino,Privada,5,NA,13.7,7,4,No participo en ninguna,6,6,Instagram,2,5,7,NA,4,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
22,Masculino,Privada,2,Entre 3-6 horas,14.2,8,4,No participo en ninguna,2,8,Whatsapp,2,15,5,Entretenimiento,4,4,Desmotiva,4,Noche(6pm-12 am),Sí,3,1,3,Entre 1-3 horas,Entre 3-6 horas,Entre 1-3 horas,Entre 3-6 horas
19,Femenino,Privada,2,Entre 6-9 horas,17,5,8,Música,1,8,Tiktok,5,10,6,Entretenimiento,3,4,Desmotiva,3,Noche(6pm-12 am),Sí,3,10,4,Entre 6-9 horas,NA,Entre 1-3 horas,Entre 1-3 horas
19,Femenino,Privada,4,Entre 1-3 horas,12,5,5,Voluntariado,3,6,Whatsapp,5,3,4,Entretenimiento,5,4,Motiva,3,Noche(6pm-12 am),Sí,3,5,4,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas
18,Masculino,Privada,3.5,Entre 1-3 horas,15.9,5,7,No participo en ninguna,1,6,Whatsapp,1,7,7,Entretenimiento,5,4,No tiene efecto,3,Noche(6pm-12 am),No,4,2,1,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas
19,Masculino,Pública,3,Entre 1-3 horas,16,4,5,Deportes,2,5,Tiktok,4,40,7,Entretenimiento,4,3,No tiene efecto,4,Noche(6pm-12 am),Sí,4,20,2,Entre 1-3 horas,Entre 3-6 horas,Entre 1-3 horas,Entre 1-3 horas
19,Femenino,Privada,1.5,Entre 3-6 horas,16.17,5,5,No participo en ninguna,0,7,Discord,1,10,7,Entretenimiento,3,3,No tiene efecto,4,Tarde (12 pm - 6pm),Sí,3,1,1,Entre 1-3 horas,Entre 3-6 horas,Entre 1-3 horas,Entre 3-6 horas
23,Masculino,Privada,2,Entre 3-6 horas,14.4,8,7,Club Académico,1,7,Tiktok,0,10,7,Entretenimiento,4,4,Motiva,4,Madrugada (12am-6am),NA,4,2,3,Entre 1-3 horas,Entre 6-9 horas,Entre 1-3 horas,Entre 1-3 horas
18,Masculino,Privada,4,Entre 1-3 horas,13.57,5,5,Voluntariado,4,8,Whatsapp,12,5,1,Noticias,4,3,No tiene efecto,1,Mañana (6am-11:59 am),NA,4,2,5,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas
18,Masculino,Pública,3,Entre 3-6 horas,18,9,6,No participo en ninguna,3,6,Tiktok,3,20,7,Entretenimiento,4,5,Motiva,4,Noche(6pm-12 am),Sí,3,0,2,Entre 3-6 horas,Entre 3-6 horas,Entre 1-3 horas,Entre 1-3 horas
